City_ID,City,Country,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed
194,Pizhanka,RU,57.4604,48.542,overcast clouds,33.76,99,100,4.21
195,Castro,BR,-24.7911,-50.0119,clear sky,78.4,38,2,2.08
196,Bandarbeyla,SO,9.4942,50.8122,few clouds,79.93,70,23,10.92
197,Aripuana,BR,-9.1667,-60.6333,overcast clouds,85.5,62,90,3.27
198,Ileza,RU,61.0533,43.9002,broken clouds,37.15,78,78,12.53
199,Namatanai,PG,-3.6667,152.4333,light rain,78.37,86,100,8.52
200,Carutapera,BR,-1.195,-46.02,scattered clouds,83.97,70,37,9.06
201,Tazovskiy,RU,67.4667,78.7,broken clouds,23.41,95,81,6.62
202,Northam,GB,51.0333,-4.2167,scattered clouds,46.0,69,37,8.01
203,Hofn,IS,64.2539,-15.2082,clear sky,33.42,41,2,4.7
204,Prince Rupert,CA,54.3161,-130.3201,moderate rain,35.6,93,90,2.3
205,Vutcani,RO,46.4667,27.9667,light rain,45.57,47,2,7.02
206,Oistins,BB,13.0667,-59.5333,volcanic ash,78.8,65,20,8.05
207,Nampula,MZ,-15.1165,39.2666,broken clouds,73.4,88,75,8.05
208,Boguchany,RU,58.3814,97.4531,few clouds,19.08,93,13,1.16
209,Noumea,NC,-22.2763,166.4572,overcast clouds,78.01,88,90,10.36
210,Mildura,AU,-34.2,142.15,scattered clouds,48.99,81,33,5.75
211,Fort Nelson,CA,58.8053,-122.7002,light snow,12.2,67,90,4.61
212,Alugan,PH,12.2188,125.4808,overcast clouds,78.71,81,99,10.07
213,Discovery Bay,US,37.9085,-121.6002,clear sky,64.99,42,1,8.05
214,Cayenne,GF,4.9333,-52.3333,broken clouds,82.4,83,75,8.05
215,San Cristobal,VE,7.7669,-72.225,broken clouds,84.2,54,75,20.71
216,Saint-Francois,FR,46.4154,3.9054,clear sky,57.2,62,0,10.36
217,Bathsheba,BB,13.2167,-59.5167,volcanic ash,78.8,65,20,8.05
218,Kawalu,ID,-7.3817,108.2082,overcast clouds,72.88,98,100,2.64
219,Port-Gentil,GA,-0.7193,8.7815,scattered clouds,84.2,79,40,8.05
220,Qaanaaq,GL,77.484,-69.3632,light snow,20.82,86,100,8.79
221,Bubaque,GW,11.2833,-15.8333,clear sky,77.63,71,7,13.18
222,Qaqortoq,GL,60.7167,-46.0333,few clouds,44.6,61,20,8.05
223,Acolla,PE,-11.7319,-75.5463,overcast clouds,59.16,57,96,4.59
224,Omsukchan,RU,62.5333,155.8,overcast clouds,-9.04,99,100,5.08
225,Mariental,NA,-24.6333,17.9667,clear sky,80.19,22,0,7.9
226,Rawlins,US,41.7911,-107.2387,clear sky,55.0,17,1,26.46
227,Petatlan,MX,17.5167,-101.2667,clear sky,86.0,62,1,11.5
228,Olovyannaya,RU,50.95,115.5667,few clouds,30.4,46,21,6.69
229,Lucea,JM,18.451,-78.1736,broken clouds,82.99,78,75,14.97
230,Richards Bay,ZA,-28.783,32.0377,clear sky,72.18,83,2,10.33
231,Necochea,AR,-38.5473,-58.7368,overcast clouds,64.0,83,99,5.99
232,Knysna,ZA,-34.0363,23.0471,clear sky,59.0,100,0,3.44
233,Marzuq,YE,14.4,46.4667,clear sky,68.77,47,2,7.74
234,Portland,US,45.5234,-122.6762,overcast clouds,48.0,65,90,18.41
235,Vredendal,ZA,-31.6683,18.5012,broken clouds,68.41,63,75,6.42
236,Curup,ID,-3.4667,102.5333,overcast clouds,66.36,95,99,2.44
237,Ngerengere,TZ,-6.75,38.1167,light rain,72.57,95,91,3.53
