City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
460,Halifax,CA,53.6,broken clouds,44.6453,-63.5724,Hotel Halifax
461,Mizan Teferi,ET,68.04,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
463,Abha,SA,68.0,few clouds,18.2164,42.5053,Abha Hotel
464,Bohl-Iggelheim,DE,57.2,clear sky,49.3806,8.3039,Hotel Paelzer-Buwe/Restaurant Bacchus
465,Owando,CG,77.9,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
467,Victoria Point,AU,69.01,few clouds,-27.5833,153.3,Bay Retreat Motel
468,Matara,LK,78.26,few clouds,5.9485,80.5353,Amaloh Boutique Resort
473,Santa Catarina De Tepehuanes,MX,77.86,clear sky,25.35,-105.7333,hotel plaza
475,Meadow Lake,US,71.01,clear sky,34.8014,-106.5436,JKL Inc. R.V Park and Storage
476,Meulaboh,ID,78.01,overcast clouds,4.1363,96.1285,Kost Pria
478,Matagami,CA,69.8,broken clouds,49.7502,-77.6328,Hôtel Matagami
479,Banda Aceh,ID,79.68,scattered clouds,5.5577,95.3222,Sulthan Hotel International
481,Llata,PE,58.87,moderate rain,-9.4167,-76.7833,Hospedaje Familia Collazos Espinoza
482,Ballina,AU,64.4,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
484,Yarada,IN,78.8,mist,17.65,83.2667,Jeevan
485,Naron,ES,55.99,broken clouds,43.5167,-8.1528,Marcial
486,Monze,ZM,64.13,few clouds,-16.2833,27.4833,Value Lodge
487,La Tuque,CA,69.8,overcast clouds,47.4334,-72.7824,Gîte aux Trois Pignons
488,Waipawa,NZ,66.2,broken clouds,-41.4122,175.5153,Tora Coastal Walk
493,La Rioja,ES,57.2,clear sky,42.25,-2.5,Casa Concejos
497,Solin,HR,53.6,clear sky,43.55,16.5,Design Hostel 101 Dalmatinac
498,Ampanihy,MG,73.42,clear sky,-24.7,44.75,Angora Hotel
500,Ogulin,HR,54.0,broken clouds,45.2661,15.2286,Hotel Frankopan
507,De Aar,ZA,76.53,scattered clouds,-30.6497,24.0123,Stoneburgh B&B
509,Katobu,ID,74.61,overcast clouds,-4.9408,122.5276,La Ode Husein
511,Puerto Carreno,CO,75.49,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
515,Camacha,PT,66.2,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
516,Aswan,EG,71.1,clear sky,24.0934,32.907,Nuba Nile
517,Somerville,US,77.0,clear sky,42.3876,-71.0995,La Quinta Inn & Suites by Wyndham Boston Somerville
526,Claver,PH,76.75,light rain,9.5725,125.7331,Claver Suites
529,Flinders,AU,60.01,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
530,Greencastle,US,62.01,overcast clouds,39.6445,-86.8647,College Inn
535,Puerto Madryn,AR,68.59,few clouds,-42.7692,-65.0385,Hotel Tolosa
536,Gramsh,AL,53.6,clear sky,40.8697,20.1844,Hotel Tomorri
540,Merauke,ID,78.55,overcast clouds,-8.4667,140.3333,PC
541,Merrill,US,51.8,overcast clouds,45.1805,-89.6835,Prairie Motel
546,Waingapu,ID,76.42,clear sky,-9.6567,120.2641,Pondok Wisata Elim
547,Talcahuano,CL,62.6,few clouds,-36.7167,-73.1167,Hotel Terramar
548,Tolbazy,RU,55.4,clear sky,54.0241,55.8825,Business Centre
551,Magadi,IN,77.0,clear sky,12.9667,77.2333,Mindri of Magadi
