City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Bethanien,NA,2021-04-06 13:09:27,-26.502,17.1583,91.49,10,4,8.25
149,Pakokku,MM,2021-04-06 13:09:02,21.3333,95.1,91.4,25,0,2.44
150,Sur,OM,2021-04-06 13:09:28,22.5667,59.5289,84.9,35,0,8.46
151,Vaini,TO,2021-04-06 13:09:28,-21.2,-175.2,73.4,94,20,8.68
152,Bogotol,RU,2021-04-06 13:06:02,56.2078,89.5342,36.63,97,100,12.8
153,Hermanus,ZA,2021-04-06 13:09:28,-34.4187,19.2345,73.0,66,97,8.99
154,Am Timan,TD,2021-04-06 13:09:29,11.0297,20.2827,105.85,6,1,5.7
155,Margate,GB,2021-04-06 13:05:29,51.3813,1.3862,45.0,33,95,8.01
156,Launceston,AU,2021-04-06 13:06:31,-41.45,147.1667,55.0,82,100,3.44
157,Touros,BR,2021-04-06 13:09:29,-5.1989,-35.4608,84.2,65,75,11.5
158,Pevek,RU,2021-04-06 13:09:29,69.7008,170.3133,-20.38,100,100,5.59
159,Nanuque,BR,2021-04-06 13:09:30,-17.8392,-40.3539,80.46,61,56,8.59
160,Bulgan,MN,2021-04-06 13:09:30,48.8125,103.5347,43.74,29,92,2.77
161,Imbituba,BR,2021-04-06 13:09:30,-28.24,-48.6703,73.4,83,75,5.75
162,College,US,2021-04-06 13:04:31,64.8569,-147.8028,-5.01,76,20,2.04
163,Acari,PE,2021-04-06 13:09:31,-15.4311,-74.6158,74.82,73,53,4.23
164,Oriximina,BR,2021-04-06 13:09:31,-1.7656,-55.8661,81.54,77,12,3.71
165,Hirara,JP,2021-04-06 13:09:31,24.8,125.2833,69.04,65,0,23.02
166,Butaritari,KI,2021-04-06 13:09:32,3.0707,172.7902,78.49,77,100,8.39
167,Luancheng,CN,2021-04-06 13:09:32,37.8792,114.6517,55.4,58,0,2.24
168,Sao Filipe,CV,2021-04-06 13:09:32,14.8961,-24.4956,78.51,57,0,10.36
169,Katsuura,JP,2021-04-06 13:09:32,35.1333,140.3,52.0,76,75,11.5
170,Broome,US,2021-04-06 13:09:33,42.2506,-75.833,41.0,48,1,8.05
171,Orocue,CO,2021-04-06 13:09:33,4.7912,-71.3354,74.88,91,100,5.06
172,Petropavlovsk-Kamchatskiy,RU,2021-04-06 13:09:33,53.0452,158.6483,28.4,69,17,2.24
173,Mujiayingzi,CN,2021-04-06 13:09:34,42.1167,118.7833,51.89,34,100,8.77
174,Ryotsu,JP,2021-04-06 13:09:34,38.0833,138.4333,51.8,76,0,3.44
175,Byron Bay,AU,2021-04-06 13:04:56,-28.65,153.6167,69.8,94,100,11.5
176,Harper,LR,2021-04-06 13:09:34,4.375,-7.7169,84.9,71,97,7.14
177,Saint-Ambroise,CA,2021-04-06 13:06:28,48.5501,-71.3324,41.0,93,100,5.75
178,Lithgow,AU,2021-04-06 13:09:35,-33.4833,150.15,57.99,43,80,3.15
179,Yinchuan,CN,2021-04-06 13:09:35,38.4681,106.2731,48.0,45,100,7.4
180,Aswan,EG,2021-04-06 13:09:36,24.0934,32.907,95.67,6,0,6.58
181,Provideniya,RU,2021-04-06 13:09:36,64.3833,-173.3,0.3,90,77,10.09
182,Lagoa,PT,2021-04-06 13:09:36,39.05,-27.9833,58.69,90,99,21.0
183,Kavieng,PG,2021-04-06 13:09:36,-2.5744,150.7967,81.18,78,96,4.34
184,Hihya,EG,2021-04-06 13:09:37,30.6713,31.588,93.0,10,2,8.05
185,Victoria,HK,2021-04-06 13:04:54,22.2855,114.1577,75.0,80,53,1.99
186,Ilulissat,GL,2021-04-06 13:09:37,69.2167,-51.1,21.2,79,75,9.22
187,Saquena,PE,2021-04-06 13:09:37,-4.6667,-73.5167,74.88,88,66,1.5
188,Fortuna,US,2021-04-06 13:09:38,40.5982,-124.1573,39.99,100,1,6.91
189,Capitao Poco,BR,2021-04-06 13:09:38,-1.7464,-47.0594,83.71,68,94,6.76
190,Oum Hadjer,TD,2021-04-06 13:09:38,13.2954,19.6966,104.41,6,39,6.91
191,Logan,US,2021-04-06 13:07:19,41.7355,-111.8344,34.0,80,90,4.61
192,Barroquinha,BR,2021-04-06 13:09:39,-3.0189,-41.1361,84.45,63,27,7.25
193,Mont-Dore,NC,2021-04-06 13:09:39,-22.2833,166.5833,71.6,78,0,3.44
194,Moussoro,TD,2021-04-06 13:09:39,13.6408,16.4901,106.0,6,0,6.91
195,Adrar,MR,2021-04-06 13:09:39,20.5022,-10.0711,92.62,9,3,7.63
196,Smoky Lake,CA,2021-04-06 13:09:40,54.1169,-112.4686,35.6,60,17,3.44
197,Ixtapa,MX,2021-04-06 13:09:40,20.7,-105.2,68.0,88,20,3.38
198,Ngunguru,NZ,2021-04-06 13:09:40,-35.6167,174.5,61.0,92,100,1.99
199,Ikongo,MG,2021-04-06 13:09:41,-21.8833,47.4333,74.84,84,74,4.27
200,Alugan,PH,2021-04-06 13:09:41,12.2188,125.4808,78.26,83,78,10.87
201,Tiksi,RU,2021-04-06 13:09:41,71.6872,128.8694,-17.05,97,51,5.01
202,Phan Thiet,VN,2021-04-06 13:09:42,10.9333,108.1,79.18,80,78,16.17
203,Mecca,SA,2021-04-06 13:09:42,21.4267,39.8261,97.61,20,0,21.45
204,Poronaysk,RU,2021-04-06 13:09:42,49.2167,143.1167,33.01,92,100,15.3
205,Vidalia,US,2021-04-06 13:09:42,32.2177,-82.4135,57.2,67,1,4.61
206,Norman Wells,CA,2021-04-06 13:09:43,65.282,-126.8329,-13.0,84,40,4.61
207,Baijiantan,CN,2021-04-06 13:09:43,45.6333,85.1833,62.4,34,48,2.66
208,Acapulco,MX,2021-04-06 13:09:43,16.8634,-99.8901,77.0,78,75,4.61
209,Haines Junction,CA,2021-04-06 13:09:44,60.7522,-137.5108,15.8,79,100,6.91
210,Clarence Town,AU,2021-04-06 13:09:44,-32.5833,151.7833,68.0,100,90,2.3
211,Tual,ID,2021-04-06 13:09:07,-5.6667,132.75,84.45,67,100,6.33
212,Kruisfontein,ZA,2021-04-06 13:09:44,-34.0033,24.7314,66.0,80,98,5.99
213,Saint-Denis,FR,2021-04-06 13:09:45,48.9167,2.3333,46.0,61,75,9.22
214,Axim,GH,2021-04-06 13:09:45,4.8699,-2.2405,86.63,67,77,8.61
215,Palmer,US,2021-04-06 13:09:04,42.1584,-72.3287,50.0,40,20,13.8
216,Belmonte,BR,2021-04-06 13:09:45,-15.8631,-38.8828,77.0,78,75,8.05
217,Faanui,PF,2021-04-06 13:09:46,-16.4833,-151.75,80.19,67,100,9.98
218,Cockburn Town,TC,2021-04-06 13:08:12,21.4612,-71.1419,73.65,66,91,18.3
219,Hulan,CN,2021-04-06 13:05:17,45.9833,126.6,41.0,42,0,2.24
220,Cheyenne,US,2021-04-06 13:05:00,41.14,-104.8203,33.8,80,1,13.8
221,Hambantota,LK,2021-04-06 13:09:46,6.1241,81.1185,84.2,84,20,5.75
